ID,Pret mp,Pret,Localitate,TURDA,CAMPIA TURZII,GILAU,GHERLA,DEJ,MUNTELE CACOVEI,FELEACU,MOCIU,AGHIRESU, HUEDIN,JUCU DE MIJLOC,JUC-HERGHELIE,CHINTENI,AGHIRESU-FABRICI,AGHIRESU2,AGHIRESU3,Cartier sursa,cartier trimmed,Cartier recodat,Objectid 1 (Recodat),Object ID (Una noua),Camere,Suprafata utila,Suprafata construita,Compartimentare,Decomandat,Nedecomandat,Semidecomandat,Etaj,Demisol,Parter,Etaj 1,Etaj 2,Etaj 3,Etaj 4,Etaj 5,Etaj 6,Etaj 7,Etaj 8,Etaj 9,Etaj 10,Etaj 11,Etaj 12,Etaj 13,Etaj 14,Etaj 15,Mansarda,Etaj 22,Total etaje bloc,Stadiul constructiei,Finalizat,In constructie,Proiect,Bai,Loc de parcare,Tipul incalzirii,Centrala,Termoficare,Confort,Confort 1,Confort 2,Confort 3,Lux,Data constructiei,Tip vanzator,Comision,Tip vanzator2,Agentie,Dezvoltator,BancŽŸ,Tip apartament,Electricitate,Canal,Apa,Gaz,Parchet,Termopan,Balcon,Mobilat,Internet,Interfon,Lift,Aer conditionat,Sistem alarma,Terasa,Dressing,Gradina,Debara,Piscina,Semineu,Sauna,Boxa,Jaluzele,Latitudine,Longitudine,Distanta fata de centru,DFDC,Post date intermediar,Data achizitie date,SIRINF,SIRSUP
3666,1900,95000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Intre Lacuri,Intre Lacuri,INTRE LACURI,83,83,2,50,0,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finalizat,1,0,0,1,0,Centrala proprie,1,0,0,0,0,0,0,0,Agentie,0,Agentie,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762322,23.6315442,0.043225454,4.3225454,11.04.2021,2021-04-11-19:49,54984,54975
3667,2089,117000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,INTRE LACURI,83,86,2,56,56,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,Centrala proprie,1,0,0,0,0,0,0,1990,Agentie,1,Agentie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762404,23.6265992,0.038343947,3.8343947,26.03.2021,2021-03-29-10:50,54984,54975
3668,1796,97000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,MARASTI,86,86,2,54,54,Semidecomandat,0,0,1,Parter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,Termoficare,0,1,Confort I,1,0,0,0,2007,Agentie,0,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762404,23.6012757,0.014040009,1.4040009,01.04.2021,2021-04-12-15:32,54984,54975
3669,2281,130000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GRUIA,0,GRUIA,85,85,2,57,65,Semidecomandat,0,0,1,Etaj 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,1978,Agentie,1,Agentie,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762405,23.5865524,0.006821418,0.6821418,22.03.2021,2021-03-29-13:19,54984,54975
3670,2423,315000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CENTRU,0,CENTRU,101,101,3,130,135,Semidecomandat,0,0,1,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Finalizat,1,0,0,3,0,0,0,0,Lux,0,0,0,1,2017,Agentie,1,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.7762466,23.5934514,0.007949476,0.7949476,16.03.2021,2021-03-29-13:46,54984,54975
3671,2020,101000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,MARASTI,86,86,2,50,65,Semidecomandat,0,0,1,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,1984,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,46.7762528,23.6149930,0.026976135,2.6976135,26.03.2021,2021-03-29-10:45,54984,54975
3672,2744,107000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,GHEORGHENI,91,86,1,39,45,Decomandat,1,0,0,Etaj 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,2000,Agentie,1,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762528,23.6210027,0.032842846,3.2842846,22.03.2021,2021-03-29-12:11,54984,54975
3673,2036,105880,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,GHEORGHENI,91,86,2,52,63,Decomandat,1,0,0,Etaj 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Finalizat,1,0,0,1,0,0,0,0,Confort I,1,0,0,0,2020,Agentie,1,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762651,23.6185953,0.030488644,3.0488644,28.03.2021,2021-03-29-09:35,54984,54975
3674,2545,56000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Intre Lacuri,Intre Lacuri,GHEORGHENI,91,83,1,22,30,Semidecomandat,0,0,1,Etaj 5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Finalizat,1,0,0,1,0,Termoficare,0,1,Confort I,1,0,0,0,2008,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.7762672,23.6211428,0.032983047,3.2983047,26.03.2021,2021-03-29-10:45,54984,54975
3675,1960,147000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,MARASTI,86,86,3,75,85,Decomandat,1,0,0,Etaj 6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,Finalizat,1,0,0,2,1,Centrala proprie,1,0,Confort I,1,0,0,0,1980,Agentie,1,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,46.7762712,23.6099804,0.022146913,2.2146913,25.03.2021,2021-03-29-12:24,54984,54975
